check_date,check_name,table_name,severity,status,metric_value,expected_range,failure_details,created_at,incident_id,incident_status,incident_summary,incident_root_cause_type,incident_root_cause_details,incident_opened_at,incident_owner
2019-11-28,freshness_has_events_on_run_date,core.fact_events,P0,PASS,1658378.0,> 0 rows on run_date,,2026-02-06 16:03:03.803586,,,,,,,
2019-11-28,purchase_events_vanish_prev_day,core.fact_events,P0,PASS,24443.0,> 0,,2026-02-06 16:03:03.980765,,,,,,,
2019-11-28,volume_prev_day_events_min_1000,core.fact_events,P0,PASS,1646456.0,>= 1000,,2026-02-06 16:03:03.898938,,,,,,,
2019-11-28,null_rate_session_id_run_date,core.fact_events,P1,PASS,0.0,<= 1%,,2026-02-06 16:03:04.029244,,,,,,,
2019-11-29,freshness_has_events_on_run_date,core.fact_events,P0,PASS,1854426.0,> 0 rows on run_date,,2026-02-06 16:03:09.210059,,,,,,,
2019-11-29,purchase_events_vanish_prev_day,core.fact_events,P0,PASS,24305.0,> 0,,2026-02-06 16:03:09.372351,,,,,,,
2019-11-29,volume_prev_day_events_min_1000,core.fact_events,P0,PASS,1658378.0,>= 1000,,2026-02-06 16:03:09.295225,,,,,,,
2019-11-29,null_rate_session_id_run_date,core.fact_events,P1,PASS,5.3925042034570265e-05,<= 1%,,2026-02-06 16:03:09.42175,,,,,,,
2019-11-30,freshness_has_events_on_run_date,core.fact_events,P0,PASS,1754878.0,> 0 rows on run_date,,2026-02-06 16:03:12.060867,,,,,,,
2019-11-30,purchase_events_vanish_prev_day,core.fact_events,P0,PASS,32107.0,> 0,,2026-02-06 16:03:12.209905,,,,,,,
2019-11-30,volume_prev_day_events_min_1000,core.fact_events,P0,PASS,1854426.0,>= 1000,,2026-02-06 16:03:12.137945,,,,,,,
2019-11-30,null_rate_session_id_run_date,core.fact_events,P1,PASS,0.0,<= 1%,,2026-02-06 16:03:12.25755,,,,,,,
